id;date;enfant_id;type_demande;heure_depart;lieu_depart;lieu_arrivee;distance_km;duree_estimee;cout_taxi_estime
TRA_0048;03/01/2024;ENF_026;Loisirs encadrés;16:15;Saint-Orens-de-Gameville;Portet-sur-Garonne;38;120;74
TRA_0049;03/01/2024;ENF_183;Loisirs encadrés;16:00;Balma;Cornebarrieu;37;180;31
TRA_0050;03/01/2024;ENF_167;Visite éducative;15:15;Castanet-Tolosan;Cornebarrieu;48;180;63
TRA_0051;03/01/2024;ENF_020;Rendez-vous médical;10:45;Ramonville-Saint-Agne;Clinique Saint-Jean;20;30;66
TRA_0052;03/01/2024;ENF_083;Loisirs encadrés;16:00;Tournefeuille;Colomiers;20;90;24
TRA_0053;03/01/2024;ENF_118;Transport d'urgence;08:00;Ramonville-Saint-Agne;Toulouse;21;180;33
TRA_0054;03/01/2024;ENF_032;Réunion éducative;18:30;L'Union;Muret;32;15;56
TRA_0055;04/01/2024;ENF_117;Loisirs encadrés;19:15;Tournefeuille;Cugnaux;48;15;27
TRA_0056;04/01/2024;ENF_185;Rendez-vous médical;15:30;Muret;Toulouse;24;90;57
TRA_0057;04/01/2024;ENF_045;Consultation psychologique;12:30;Muret;Tournefeuille;10;30;39
TRA_0058;04/01/2024;ENF_118;Réunion éducative;09:00;Ramonville-Saint-Agne;Tournefeuille;40;45;73
TRA_0059;04/01/2024;ENF_052;Transport d'urgence;13:45;Toulouse;Blagnac;25;120;46
TRA_0060;04/01/2024;ENF_089;Visite éducative;16:00;Fonsorbes;Balma;9;120;44
TRA_0061;04/01/2024;ENF_017;Visite éducative;08:30;Cornebarrieu;Saint-Gaudens;37;15;78
TRA_0062;04/01/2024;ENF_125;Visite familiale encadrée;10:30;Pins-Justaret;Frouzins;11;180;36
TRA_0063;04/01/2024;ENF_010;Réunion éducative;18:15;Colomiers;Muret;42;15;67
TRA_0064;04/01/2024;ENF_032;Formation professionnelle;10:45;L'Union;Ramonville-Saint-Agne;31;180;54
TRA_0065;04/01/2024;ENF_029;Rendez-vous médical;12:30;Tournefeuille;Balma;39;45;68
TRA_0066;04/01/2024;ENF_103;Réunion éducative;16:30;Castanet-Tolosan;Tournefeuille;46;120;39
TRA_0067;04/01/2024;ENF_107;Formation professionnelle;18:30;Pibrac;Saint-Orens-de-Gameville;16;90;51
TRA_0068;04/01/2024;ENF_150;Formation professionnelle;14:30;Colomiers;Saint-Gaudens;17;120;67
TRA_0069;04/01/2024;ENF_182;Visite éducative;12:45;Saint-Orens-de-Gameville;Castanet-Tolosan;12;30;43
TRA_0070;04/01/2024;ENF_052;Loisirs encadrés;18:00;Toulouse;Saint-Orens-de-Gameville;16;60;45
TRA_0071;04/01/2024;ENF_077;Consultation psychologique;16:15;Plaisance-du-Touch;Pibrac;6;60;40
TRA_0072;04/01/2024;ENF_030;Rendez-vous médical;14:45;Toulouse;Balma;20;120;49
TRA_0073;04/01/2024;ENF_162;Audience tribunal;14:45;Saint-Gaudens;Portet-sur-Garonne;28;45;78
TRA_0074;04/01/2024;ENF_094;Consultation spécialisée;17:00;L'Union;Ramonville-Saint-Agne;36;30;27
TRA_0075;04/01/2024;ENF_053;Formation professionnelle;19:00;Fonsorbes;Colomiers;17;30;65
TRA_0076;04/01/2024;ENF_065;Loisirs encadrés;11:00;Cugnaux;Portet-sur-Garonne;19;90;55
TRA_0077;05/01/2024;ENF_050;Visite éducative;15:15;Castanet-Tolosan;Saint-Orens-de-Gameville;10;60;66
TRA_0078;05/01/2024;ENF_052;Transport scolaire;15:00;Toulouse;Villefranche de Lauragais;47;30;30
TRA_0079;05/01/2024;ENF_009;Transport d'urgence;16:15;Pibrac;Blagnac;13;45;46
TRA_0080;05/01/2024;ENF_018;Audience tribunal;17:30;Pins-Justaret;Pins-Justaret;34;30;44
TRA_0081;05/01/2024;ENF_161;Formation professionnelle;12:15;Blagnac;Tournefeuille;26;30;56
TRA_0082;05/01/2024;ENF_134;Audience tribunal;19:45;Ramonville-Saint-Agne;Ramonville-Saint-Agne;35;90;57
TRA_0083;05/01/2024;ENF_049;Consultation spécialisée;18:00;Saint-Orens-de-Gameville;L'Union;45;60;68
TRA_0084;05/01/2024;ENF_187;Consultation psychologique;19:15;Frouzins;Blagnac;29;120;61
TRA_0085;05/01/2024;ENF_094;Consultation spécialisée;14:00;L'Union;Colomiers;38;120;68
TRA_0086;05/01/2024;ENF_097;Audience tribunal;17:30;L'Union;Pins-Justaret;13;30;46
TRA_0087;05/01/2024;ENF_064;Consultation psychologique;09:00;Cornebarrieu;Fonsorbes;29;15;38
TRA_0088;05/01/2024;ENF_129;Consultation psychologique;16:00;Saint-Gaudens;L'Union;39;60;44
TRA_0089;05/01/2024;ENF_057;Consultation spécialisée;16:45;Blagnac;Toulouse;17;15;27
TRA_0090;05/01/2024;ENF_080;Visite familiale encadrée;10:45;Pibrac;Muret;45;120;60
TRA_0091;05/01/2024;ENF_142;Transport scolaire;15:45;Fonsorbes;Toulouse;14;30;69
TRA_0092;05/01/2024;ENF_079;Transport scolaire;09:45;Balma;Villefranche de Lauragais;13;180;66
TRA_0093;05/01/2024;ENF_130;Transport scolaire;15:00;Toulouse;Villefranche de Lauragais;9;15;34
TRA_0094;05/01/2024;ENF_112;Activité thérapeutique;15:30;L'Union;Balma;30;45;59
TRA_0095;08/01/2024;ENF_084;Visite familiale encadrée;18:30;Saint-Gaudens;Toulouse;32;30;73
TRA_0096;08/01/2024;ENF_152;Visite familiale encadrée;12:45;Tournefeuille;Lèguevin;36;15;33
TRA_0097;08/01/2024;ENF_001;Activité thérapeutique;10:15;L'Union;Pibrac;43;15;57
TRA_0098;08/01/2024;ENF_052;Rendez-vous médical;19:30;Toulouse;Toulouse;13;60;72
TRA_0099;08/01/2024;ENF_112;Consultation psychologique;12:15;L'Union;Toulouse;8;15;22
TRA_0100;08/01/2024;ENF_135;Activité thérapeutique;12:45;Blagnac;Cornebarrieu;30;15;24
TRA_0101;08/01/2024;ENF_020;Consultation spécialisée;10:30;Ramonville-Saint-Agne;Saint-Orens-de-Gameville;19;30;40
TRA_0102;08/01/2024;ENF_031;Rendez-vous médical;11:00;Tournefeuille;Clinique Saint-Jean;37;15;31
TRA_0103;08/01/2024;ENF_092;Visite éducative;16:45;Muret;Tournefeuille;18;120;55
TRA_0104;08/01/2024;ENF_172;Formation professionnelle;18:00;Toulouse;Lèguevin;41;45;71
TRA_0105;08/01/2024;ENF_069;Formation professionnelle;14:30;Ramonville-Saint-Agne;Portet-sur-Garonne;22;90;59
TRA_0106;08/01/2024;ENF_174;Visite familiale encadrée;19:00;Muret;Pins-Justaret;44;45;55
TRA_0107;08/01/2024;ENF_059;Réunion éducative;08:15;Fonsorbes;Portet-sur-Garonne;41;30;20
TRA_0108;08/01/2024;ENF_042;Consultation psychologique;12:00;Pibrac;Saint-Orens-de-Gameville;41;60;56
TRA_0109;08/01/2024;ENF_160;Transport scolaire;09:00;Balma;Villefranche de Lauragais;27;90;38
TRA_0110;08/01/2024;ENF_061;Formation professionnelle;10:30;Pins-Justaret;Cugnaux;22;90;27
TRA_0111;08/01/2024;ENF_193;Activité thérapeutique;11:15;Colomiers;Saint-Orens-de-Gameville;47;45;64
TRA_0112;08/01/2024;ENF_087;Loisirs encadrés;10:30;Castanet-Tolosan;Toulouse;11;60;54
TRA_0113;08/01/2024;ENF_016;Formation professionnelle;13:00;Muret;Pibrac;28;15;56
TRA_0114;08/01/2024;ENF_139;Transport d'urgence;14:45;Pibrac;Ramonville-Saint-Agne;12;90;44
TRA_0115;09/01/2024;ENF_057;Réunion éducative;08:00;Blagnac;Castanet-Tolosan;44;60;46
TRA_0116;09/01/2024;ENF_065;Visite familiale encadrée;16:00;Cugnaux;Pibrac;46;45;67
TRA_0117;09/01/2024;ENF_104;Consultation spécialisée;11:45;L'Union;Lèguevin;21;30;30
TRA_0118;09/01/2024;ENF_121;Consultation psychologique;12:15;Frouzins;Saint-Gaudens;44;90;20
TRA_0119;09/01/2024;ENF_046;Consultation psychologique;08:45;Fonsorbes;Plaisance-du-Touch;34;60;34
TRA_0120;09/01/2024;ENF_151;Consultation psychologique;17:30;Muret;Toulouse;5;90;38
TRA_0121;09/01/2024;ENF_031;Audience tribunal;18:45;Tournefeuille;Saint-Orens-de-Gameville;31;90;43
TRA_0122;09/01/2024;ENF_073;Réunion éducative;12:30;Fonsorbes;Saint-Gaudens;19;45;67
TRA_0123;09/01/2024;ENF_025;Consultation spécialisée;11:45;Plaisance-du-Touch;Cornebarrieu;15;30;38
TRA_0124;09/01/2024;ENF_128;Consultation psychologique;12:15;Pibrac;Cugnaux;9;45;59
TRA_0125;09/01/2024;ENF_130;Formation professionnelle;09:00;Toulouse;Ramonville-Saint-Agne;49;15;75
TRA_0126;09/01/2024;ENF_173;Rendez-vous médical;09:00;Pibrac;Toulouse;34;120;22
TRA_0127;09/01/2024;ENF_067;Rendez-vous médical;15:00;Frouzins;Toulouse;16;60;22
TRA_0128;09/01/2024;ENF_059;Réunion éducative;16:30;Fonsorbes;Castanet-Tolosan;46;45;34
TRA_0129;09/01/2024;ENF_072;Transport scolaire;13:15;Cugnaux;Villefranche de Lauragais;31;120;53
TRA_0130;09/01/2024;ENF_200;Rendez-vous médical;16:30;Lèguevin;Clinique Saint-Jean;43;120;44
TRA_0131;09/01/2024;ENF_181;Activité thérapeutique;08:45;Saint-Gaudens;Colomiers;45;45;34
TRA_0132;09/01/2024;ENF_002;Réunion éducative;16:15;Colomiers;L'Union;47;30;24
TRA_0133;09/01/2024;ENF_140;Transport d'urgence;16:00;Saint-Gaudens;Colomiers;30;90;30
TRA_0134;09/01/2024;ENF_165;Transport scolaire;11:45;Castanet-Tolosan;Villefranche de Lauragais;46;45;50
TRA_0135;09/01/2024;ENF_189;Transport scolaire;14:00;Frouzins;Villefranche de Lauragais;16;120;70
TRA_0136;09/01/2024;ENF_010;Rendez-vous médical;10:00;Colomiers;Balma;11;120;75
TRA_0137;10/01/2024;ENF_033;Audience tribunal;12:45;Pibrac;Portet-sur-Garonne;40;60;35
TRA_0138;10/01/2024;ENF_077;Visite éducative;09:45;Plaisance-du-Touch;Castanet-Tolosan;44;120;52
TRA_0139;10/01/2024;ENF_069;Activité thérapeutique;12:30;Ramonville-Saint-Agne;Plaisance-du-Touch;40;180;39
TRA_0140;10/01/2024;ENF_124;Formation professionnelle;18:30;Pibrac;Pins-Justaret;10;120;69
TRA_0141;10/01/2024;ENF_171;Transport scolaire;14:45;Castanet-Tolosan;Toulouse;46;60;56
TRA_0142;10/01/2024;ENF_055;Visite éducative;09:15;Balma;Cornebarrieu;29;15;22
TRA_0143;10/01/2024;ENF_024;Rendez-vous médical;17:15;Toulouse;Toulouse;21;120;78
TRA_0144;10/01/2024;ENF_160;Audience tribunal;18:15;Balma;Muret;34;15;51
TRA_0145;10/01/2024;ENF_198;Visite éducative;12:30;Saint-Orens-de-Gameville;Lèguevin;24;45;33
TRA_0146;10/01/2024;ENF_178;Réunion éducative;08:45;L'Union;Muret;11;180;77
TRA_0147;10/01/2024;ENF_167;Réunion éducative;19:00;Castanet-Tolosan;Tournefeuille;11;30;77
TRA_0148;10/01/2024;ENF_076;Transport d'urgence;15:45;L'Union;Pins-Justaret;44;60;39
TRA_0149;10/01/2024;ENF_022;Transport scolaire;19:15;Portet-sur-Garonne;Saint-Gaudens;19;180;56
TRA_0150;10/01/2024;ENF_002;Visite familiale encadrée;09:30;Colomiers;Plaisance-du-Touch;21;180;30
TRA_0151;10/01/2024;ENF_090;Transport d'urgence;08:45;Saint-Orens-de-Gameville;Plaisance-du-Touch;17;120;50
TRA_0152;10/01/2024;ENF_058;Formation professionnelle;14:15;Cugnaux;Pibrac;31;180;66
TRA_0153;10/01/2024;ENF_193;Visite familiale encadrée;11:45;Colomiers;Plaisance-du-Touch;18;60;56
TRA_0154;10/01/2024;ENF_146;Consultation spécialisée;11:45;Balma;Lèguevin;44;120;79
TRA_0155;10/01/2024;ENF_006;Activité thérapeutique;10:45;Blagnac;Pibrac;9;45;72
TRA_0156;10/01/2024;ENF_171;Visite familiale encadrée;16:15;Castanet-Tolosan;Colomiers;13;60;32
TRA_0157;10/01/2024;ENF_093;Transport d'urgence;19:15;Toulouse;Frouzins;23;45;77
TRA_0158;11/01/2024;ENF_056;Activité thérapeutique;14:45;Cornebarrieu;Plaisance-du-Touch;16;30;48
TRA_0159;11/01/2024;ENF_050;Visite familiale encadrée;17:15;Castanet-Tolosan;Frouzins;27;180;49
TRA_0160;11/01/2024;ENF_038;Loisirs encadrés;08:45;Fonsorbes;Muret;12;30;77
TRA_0161;11/01/2024;ENF_104;Transport d'urgence;08:15;L'Union;Lèguevin;23;120;71
TRA_0162;11/01/2024;ENF_004;Visite éducative;12:30;Pibrac;Frouzins;9;120;22
TRA_0163;11/01/2024;ENF_031;Consultation spécialisée;11:45;Tournefeuille;Pins-Justaret;48;120;61
TRA_0164;11/01/2024;ENF_031;Visite familiale encadrée;09:15;Tournefeuille;Portet-sur-Garonne;32;180;62
TRA_0165;11/01/2024;ENF_069;Loisirs encadrés;17:30;Ramonville-Saint-Agne;Lèguevin;20;120;31
TRA_0166;11/01/2024;ENF_133;Visite familiale encadrée;15:45;Toulouse;Portet-sur-Garonne;38;45;36
TRA_0167;11/01/2024;ENF_159;Visite éducative;17:15;Toulouse;Cugnaux;27;180;56
TRA_0168;11/01/2024;ENF_111;Réunion éducative;16:15;Frouzins;Toulouse;12;180;54
TRA_0169;11/01/2024;ENF_188;Visite familiale encadrée;13:45;Colomiers;Pibrac;5;60;45
TRA_0170;11/01/2024;ENF_118;Loisirs encadrés;18:30;Ramonville-Saint-Agne;Muret;23;90;44
TRA_0171;11/01/2024;ENF_125;Transport scolaire;18:30;Pins-Justaret;Toulouse;45;120;46
TRA_0172;11/01/2024;ENF_006;Audience tribunal;13:30;Blagnac;Pins-Justaret;37;60;22
TRA_0173;11/01/2024;ENF_023;Transport scolaire;18:15;Tournefeuille;Villefranche de Lauragais;19;45;72
TRA_0174;11/01/2024;ENF_156;Consultation spécialisée;17:30;Saint-Orens-de-Gameville;Saint-Gaudens;26;90;77
TRA_0175;11/01/2024;ENF_170;Rendez-vous médical;12:30;Ramonville-Saint-Agne;Toulouse;14;30;21
TRA_0176;11/01/2024;ENF_114;Visite familiale encadrée;12:45;Cugnaux;Castanet-Tolosan;35;15;22
TRA_0177;11/01/2024;ENF_037;Transport d'urgence;12:00;Saint-Orens-de-Gameville;Portet-sur-Garonne;39;60;67
TRA_0178;11/01/2024;ENF_083;Réunion éducative;08:45;Tournefeuille;Fonsorbes;39;120;61
TRA_0179;11/01/2024;ENF_032;Consultation spécialisée;14:30;L'Union;Fonsorbes;21;60;24
TRA_0180;12/01/2024;ENF_084;Formation professionnelle;09:00;Saint-Gaudens;Tournefeuille;25;120;61
TRA_0181;12/01/2024;ENF_102;Réunion éducative;08:15;Fonsorbes;Muret;49;90;79
TRA_0182;12/01/2024;ENF_185;Formation professionnelle;14:45;Muret;Cornebarrieu;11;30;34
TRA_0183;12/01/2024;ENF_022;Consultation psychologique;14:00;Portet-sur-Garonne;Muret;31;15;20
TRA_0184;12/01/2024;ENF_025;Visite familiale encadrée;08:00;Plaisance-du-Touch;Tournefeuille;33;60;64
TRA_0185;12/01/2024;ENF_043;Audience tribunal;12:45;Toulouse;Fonsorbes;26;30;48
TRA_0186;12/01/2024;ENF_194;Audience tribunal;11:15;Fonsorbes;Cornebarrieu;29;45;43
TRA_0187;12/01/2024;ENF_161;Loisirs encadrés;16:30;Blagnac;Plaisance-du-Touch;46;180;31
TRA_0188;12/01/2024;ENF_192;Transport scolaire;17:30;Balma;Saint-Gaudens;27;180;72
TRA_0189;12/01/2024;ENF_197;Transport d'urgence;08:45;Colomiers;Fonsorbes;15;15;65
TRA_0190;12/01/2024;ENF_021;Transport d'urgence;15:15;Pins-Justaret;Fonsorbes;8;45;69
TRA_0191;12/01/2024;ENF_090;Loisirs encadrés;15:00;Saint-Orens-de-Gameville;Muret;49;90;60
TRA_0192;12/01/2024;ENF_145;Rendez-vous médical;08:00;Blagnac;Balma;5;180;41
TRA_0193;12/01/2024;ENF_178;Visite familiale encadrée;09:45;L'Union;Balma;39;60;33
TRA_0194;12/01/2024;ENF_153;Loisirs encadrés;11:00;Fonsorbes;Saint-Gaudens;45;90;60
TRA_0195;12/01/2024;ENF_014;Réunion éducative;11:00;Blagnac;Portet-sur-Garonne;31;30;32
TRA_0196;12/01/2024;ENF_150;Activité thérapeutique;09:45;Colomiers;L'Union;24;180;74
TRA_0197;12/01/2024;ENF_182;Loisirs encadrés;08:00;Saint-Orens-de-Gameville;Saint-Gaudens;8;30;27
TRA_0198;12/01/2024;ENF_070;Transport scolaire;09:30;Cugnaux;Saint-Gaudens;43;45;27
TRA_0199;12/01/2024;ENF_159;Formation professionnelle;16:45;Toulouse;Portet-sur-Garonne;48;60;30
TRA_0200;12/01/2024;ENF_007;Audience tribunal;14:30;Frouzins;Balma;34;90;55
TRA_0201;12/01/2024;ENF_199;Transport d'urgence;08:00;Balma;Cugnaux;41;45;34
TRA_0202;15/01/2024;ENF_134;Transport scolaire;12:15;Ramonville-Saint-Agne;Saint-Gaudens;12;90;39
TRA_0203;15/01/2024;ENF_092;Consultation spécialisée;09:15;Muret;Colomiers;46;180;66
TRA_0204;15/01/2024;ENF_075;Loisirs encadrés;16:45;Frouzins;Colomiers;32;30;63
TRA_0205;15/01/2024;ENF_108;Visite éducative;17:00;Castanet-Tolosan;Castanet-Tolosan;37;180;67
TRA_0206;15/01/2024;ENF_033;Formation professionnelle;14:15;Pibrac;Frouzins;36;45;78
TRA_0207;15/01/2024;ENF_089;Consultation psychologique;17:15;Fonsorbes;L'Union;42;15;35
TRA_0208;15/01/2024;ENF_138;Audience tribunal;16:45;Pibrac;Frouzins;15;180;35
TRA_0209;15/01/2024;ENF_075;Transport scolaire;14:30;Frouzins;Toulouse;29;45;64
TRA_0210;15/01/2024;ENF_042;Consultation spécialisée;19:30;Pibrac;Cornebarrieu;37;30;75
TRA_0211;15/01/2024;ENF_096;Transport scolaire;17:00;Tournefeuille;Toulouse;12;120;50
TRA_0212;15/01/2024;ENF_133;Visite familiale encadrée;12:30;Toulouse;Colomiers;14;15;43
TRA_0213;15/01/2024;ENF_171;Consultation psychologique;14:45;Castanet-Tolosan;Lèguevin;21;45;65
TRA_0214;15/01/2024;ENF_106;Transport d'urgence;13:30;Frouzins;Castanet-Tolosan;42;15;71
TRA_0215;15/01/2024;ENF_157;Consultation psychologique;18:30;Cugnaux;Plaisance-du-Touch;28;120;41
TRA_0216;15/01/2024;ENF_110;Visite éducative;13:15;Saint-Orens-de-Gameville;Saint-Orens-de-Gameville;14;15;48
TRA_0217;15/01/2024;ENF_054;Rendez-vous médical;13:30;L'Union;Clinique Saint-Jean;7;45;73
TRA_0218;15/01/2024;ENF_014;Activité thérapeutique;10:15;Blagnac;Cugnaux;16;45;47
TRA_0219;16/01/2024;ENF_198;Réunion éducative;08:45;Saint-Orens-de-Gameville;Balma;30;45;22
TRA_0220;16/01/2024;ENF_116;Réunion éducative;11:00;Castanet-Tolosan;Saint-Orens-de-Gameville;45;90;20
TRA_0221;16/01/2024;ENF_137;Rendez-vous médical;09:30;Tournefeuille;Clinique Saint-Jean;17;120;44
TRA_0222;16/01/2024;ENF_074;Transport d'urgence;17:00;Frouzins;Ramonville-Saint-Agne;44;30;77
TRA_0223;16/01/2024;ENF_038;Rendez-vous médical;17:15;Fonsorbes;Clinique Saint-Jean;23;15;36
TRA_0224;16/01/2024;ENF_125;Activité thérapeutique;08:00;Pins-Justaret;Colomiers;25;15;72
TRA_0225;16/01/2024;ENF_053;Loisirs encadrés;18:00;Fonsorbes;Castanet-Tolosan;23;15;44
TRA_0226;16/01/2024;ENF_088;Visite éducative;09:30;Saint-Orens-de-Gameville;Castanet-Tolosan;25;180;46
TRA_0227;16/01/2024;ENF_060;Activité thérapeutique;10:45;Cornebarrieu;Blagnac;38;30;57
TRA_0228;16/01/2024;ENF_159;Loisirs encadrés;11:15;Toulouse;Cornebarrieu;25;45;34
TRA_0229;16/01/2024;ENF_093;Transport scolaire;13:15;Toulouse;Toulouse;7;120;55
TRA_0230;16/01/2024;ENF_047;Loisirs encadrés;16:30;Muret;Lèguevin;17;15;51
TRA_0231;16/01/2024;ENF_184;Visite familiale encadrée;14:15;Ramonville-Saint-Agne;Saint-Orens-de-Gameville;34;30;49
TRA_0232;16/01/2024;ENF_003;Transport scolaire;09:00;Castanet-Tolosan;Toulouse;33;60;41
TRA_0233;16/01/2024;ENF_072;Activité thérapeutique;12:45;Cugnaux;Frouzins;22;30;29
TRA_0234;16/01/2024;ENF_087;Audience tribunal;12:15;Castanet-Tolosan;L'Union;25;45;50
TRA_0235;16/01/2024;ENF_048;Visite familiale encadrée;11:45;Toulouse;Castanet-Tolosan;28;120;26
TRA_0236;16/01/2024;ENF_066;Transport scolaire;15:45;Colomiers;Toulouse;30;180;69
TRA_0237;17/01/2024;ENF_015;Visite familiale encadrée;08:15;Tournefeuille;Toulouse;25;45;62
TRA_0238;17/01/2024;ENF_104;Consultation spécialisée;10:30;L'Union;L'Union;30;180;74
TRA_0239;17/01/2024;ENF_090;Formation professionnelle;16:00;Saint-Orens-de-Gameville;Plaisance-du-Touch;8;60;45
TRA_0240;17/01/2024;ENF_153;Transport scolaire;12:15;Fonsorbes;Toulouse;18;15;65
TRA_0241;17/01/2024;ENF_032;Loisirs encadrés;15:30;L'Union;Tournefeuille;31;90;57
TRA_0242;17/01/2024;ENF_185;Loisirs encadrés;16:00;Muret;Muret;32;180;31
TRA_0243;17/01/2024;ENF_163;Activité thérapeutique;14:00;Saint-Orens-de-Gameville;L'Union;39;120;58
TRA_0244;17/01/2024;ENF_033;Transport scolaire;18:30;Pibrac;Toulouse;32;120;51
TRA_0245;17/01/2024;ENF_087;Transport d'urgence;11:45;Castanet-Tolosan;Frouzins;23;120;31
TRA_0246;17/01/2024;ENF_172;Activité thérapeutique;19:30;Toulouse;Cugnaux;40;180;49
TRA_0247;17/01/2024;ENF_012;Activité thérapeutique;08:00;Frouzins;Tournefeuille;40;180;75
TRA_0248;17/01/2024;ENF_044;Activité thérapeutique;11:15;Balma;Saint-Orens-de-Gameville;33;180;31
TRA_0249;17/01/2024;ENF_145;Activité thérapeutique;09:45;Blagnac;Balma;30;45;44
